date,window_id,window_start,window_end,n_days,n_assets,corr_k_edge_mean,corr_k_edge_median,corr_k_edge_q10,corr_k_edge_q05,corr_k_edge_ltm10,corr_k_edge_frac_neg,corr_k_vertex_mean,corr_k_vertex_median,corr_k_vertex_q10,prec_k_edge_mean,prec_k_edge_median,prec_k_edge_q10,prec_k_edge_q05,prec_k_edge_ltm10,prec_k_edge_frac_neg,prec_k_vertex_mean,prec_k_vertex_median,prec_k_vertex_q10
2011-01-03,0,2010-01-05,2011-01-03,252,150,0.2373368914332962,0.26916015449270325,0.08214190540829269,0.026976534288799314,-0.021591190713429253,0.036893203883495145,0.17290265737466654,0.17811564162205357,0.048712406827749015,0.054630909954458594,0.0936728571303766,-0.17029894946663013,-0.27526024776803265,-0.30038785730281364,0.2946666666666667,0.04377763068158414,0.052932598429537,-0.04011550248472122
2011-01-04,1,2010-01-06,2011-01-04,252,150,0.23696086144011713,0.2676272008487264,0.08108941610382785,0.03286162953549876,-0.019967846677376156,0.03816300129366106,0.17307174039588724,0.17900876771387395,0.05344913880921185,0.13205524792660742,0.157441329274784,-0.04374106115653157,-0.127231061819438,-0.1574189758069605,0.14266666666666666,0.1377981249571864,0.12661265292136675,0.006270146222037699
2011-01-05,2,2010-01-07,2011-01-05,252,150,0.23887082243242316,0.26752365021516045,0.09116648298555216,0.024907995501891045,-0.019981342057203328,0.037516170763260026,0.17256198702266298,0.1781929577977423,0.05373730512386614,0.05882036529446924,0.06794577922662837,-0.033251094870491035,-0.06626705911135576,-0.08766822261788419,0.182,0.05363663507236725,0.056091259196833235,0.018588632375501613
2011-01-06,3,2010-01-08,2011-01-06,252,150,0.23846015431901152,0.26568025200868617,0.09172687054556355,0.03834907883146366,-0.01437221694575718,0.03483870967741935,0.172127348905259,0.17948470419172616,0.05116012340511259,0.13457433979274386,0.16173988732330125,-0.0490698645799479,-0.12902561978692503,-0.1549513697900549,0.14333333333333334,0.1383171734350137,0.13022146621183395,0.014616322027610536
2011-01-07,4,2010-01-11,2011-01-07,252,150,0.23853258276776204,0.2672752681294695,0.08912720727264217,0.0329140088571056,-0.018118573778058242,0.036774193548387096,0.1719303650852922,0.17938693796310085,0.051206573669961473,0.13255663969295658,0.15768041457400045,-0.048243412279774016,-0.127983105721021,-0.1551649537111132,0.14333333333333334,0.13588790648205212,0.12475946617956836,0.007238478033367549
2011-01-10,5,2010-01-12,2011-01-10,252,150,0.24220369690638285,0.27328638076186607,0.0938504077637914,0.03702004530240566,-0.014806299106899323,0.035483870967741936,0.17360109071111154,0.17785390801433967,0.055975698362040215,0.13370380193983764,0.1575014584407164,-0.04507799065447797,-0.12653997208283627,-0.15348080776370204,0.14533333333333334,0.13789232413315214,0.13261506981173493,0.009886450286246542
2011-01-11,6,2010-01-13,2011-01-11,252,150,0.24263890530376184,0.2734523497095622,0.09625130124747688,0.03561473246833691,-0.014234352269110306,0.03483870967741935,0.17446865251174765,0.18302085175232918,0.05618488305920231,0.13376918984850192,0.16036259725538432,-0.05107382843004635,-0.1200732009294934,-0.1546484158673862,0.14733333333333334,0.1374959332490622,0.13010436012865012,0.0035656559746186397
2011-01-12,7,2010-01-14,2011-01-12,252,150,0.24200137242691916,0.27206235776326765,0.09660841726986545,0.041339880493425074,-0.015229306869539484,0.03741935483870968,0.17480535437600614,0.18588523665574835,0.058221180434461006,0.0587457442026679,0.06811955916390361,-0.03448962956661086,-0.06966919601811582,-0.08681507114357633,0.17866666666666667,0.05441741972974626,0.05824214069950025,0.019377395096571767
2011-01-13,8,2010-01-15,2011-01-13,252,150,0.2416050328411716,0.27179793652422557,0.08759163558080817,0.02540308599967933,-0.020104382700139586,0.03870967741935484,0.17296802754810336,0.18625233592868395,0.05655855073871396,0.05740398567593718,0.06746312780106795,-0.03382151302055185,-0.06385836083863383,-0.0846057058663982,0.19466666666666665,0.05370806119483421,0.054831506745991326,0.018552108670826288
2011-01-14,9,2010-01-19,2011-01-14,252,150,0.2417063916420459,0.2731579122087643,0.0899717971289515,0.035146927601722555,-0.016012406249753804,0.03612903225806452,0.174724036940563,0.1862917560816736,0.05789593211022127,0.13315498681194976,0.15786478037226842,-0.04952127582388949,-0.12621045024125432,-0.1558785909110456,0.14466666666666667,0.1394910011053884,0.13037966082124963,0.001651491040023889
