date,window_id,window_start,window_end,n_days,n_assets,prec_num_edges,prec_avg_degree,prec_density,prec_total_weight,prec_avg_weight
2011-01-03,0,2010-01-05,2011-01-03,252,150,1500,20.0,0.1342281879194631,131.68719728398892,0.043895732427996305
2011-01-04,1,2010-01-06,2011-01-04,252,150,1500,20.0,0.1342281879194631,139.28931146481744,0.04642977048827248
2011-01-05,2,2010-01-07,2011-01-05,252,150,1500,20.0,0.1342281879194631,131.66315029247988,0.043887716764159965
2011-01-06,3,2010-01-08,2011-01-06,252,150,1500,20.0,0.1342281879194631,139.3956844387626,0.0464652281462542
2011-01-07,4,2010-01-11,2011-01-07,252,150,1500,20.0,0.1342281879194631,139.31890083409002,0.046439633611363336
2011-01-10,5,2010-01-12,2011-01-10,252,150,1500,20.0,0.1342281879194631,139.13285039012646,0.04637761679670882
2011-01-11,6,2010-01-13,2011-01-11,252,150,1500,20.0,0.1342281879194631,139.20228154132505,0.046400760513775015
2011-01-12,7,2010-01-14,2011-01-12,252,150,1500,20.0,0.1342281879194631,139.2739365671784,0.046424645522392796
2011-01-13,8,2010-01-15,2011-01-13,252,150,1500,20.0,0.1342281879194631,139.37707665510433,0.04645902555170144
2011-01-14,9,2010-01-19,2011-01-14,252,150,1500,20.0,0.1342281879194631,131.90034771284115,0.04396678257094705
2011-01-18,10,2010-01-20,2011-01-18,252,150,1500,20.0,0.1342281879194631,139.37532661688056,0.04645844220562685
2011-01-19,11,2010-01-21,2011-01-19,252,150,1500,20.0,0.1342281879194631,139.13659198647755,0.04637886399549252
2011-01-20,12,2010-01-22,2011-01-20,252,150,1500,20.0,0.1342281879194631,131.75378289620545,0.04391792763206848
2011-01-21,13,2010-01-25,2011-01-21,252,150,1500,20.0,0.1342281879194631,131.8681754290351,0.04395605847634503
2011-01-24,14,2010-01-26,2011-01-24,252,150,1500,20.0,0.1342281879194631,139.46090657942165,0.046486968859807215
2011-01-25,15,2010-01-27,2011-01-25,252,150,1500,20.0,0.1342281879194631,131.81195768308294,0.04393731922769431
