date,window_id,window_start,window_end,n_days,n_assets,corr_f_edge_mean,corr_f_edge_median,corr_f_edge_q10,corr_f_edge_q05,corr_f_edge_ltm10,corr_f_edge_frac_neg,corr_f_vertex_mean,corr_f_vertex_median,corr_f_vertex_q10,prec_f_edge_mean,prec_f_edge_median,prec_f_edge_q10,prec_f_edge_q05,prec_f_edge_ltm10,prec_f_edge_frac_neg,prec_f_vertex_mean,prec_f_vertex_median,prec_f_vertex_q10
2011-01-24,14,2010-01-26,2011-01-24,252,150,-3103.1346448416957,-3014.883833222968,-4906.223762017369,-5547.514124506682,-5707.396157057826,0.9974176888315042,-2139.1627496002957,-2377.291522075322,-3577.5753349179267,-87.2668733676318,-73.60255141663124,-173.1895915257241,-207.12633601493957,-218.65962745013454,0.9993337774816788,-63.26941649689084,-65.43530317289118,-108.550736518572
2011-01-25,15,2010-01-27,2011-01-25,252,150,-3110.524874357674,-3013.2239539018406,-4899.072785933511,-5611.195891663289,-5750.140761322964,0.9974176888315042,-2160.327204936043,-2362.886217196554,-3556.870576178069,-87.13790195352999,-73.56219158605369,-174.9082678930983,-208.041488774167,-218.1121751226154,0.9993337774816788,-63.46182852084254,-64.840391820909,-110.5015226503475
2011-01-26,16,2010-01-28,2011-01-26,252,150,-3142.4821438549147,-3032.155881707604,-4968.445291863162,-5647.640561652483,-5805.205685246632,0.9974176888315042,-2187.6262044130212,-2409.6586206772636,-3704.9186920047528,-88.71643162141754,-73.46739185191967,-178.6511502644083,-213.2347623045539,-225.77341740164454,1.0,-64.88045778310683,-67.55557470658167,-111.57776953905253
2011-01-27,17,2010-01-29,2011-01-27,252,150,-3127.406910111993,-3056.6982017731934,-4972.5594624756295,-5653.075165683736,-5840.178480149899,0.9974176888315042,-2176.961863829696,-2441.8239901922716,-3646.7516133910026,-186.73445217726598,-179.74386229712624,-290.26854874542306,-320.6785948014613,-333.8219550115125,1.0,-171.5859777806108,-161.6760995930652,-245.19019597558642
2011-01-28,18,2010-02-01,2011-01-28,252,150,-3118.656531651118,-3045.7849158168647,-4960.352836393924,-5649.202520609595,-5788.207683795005,0.9967721110393802,-2180.9908402290007,-2429.1197044999444,-3647.6025944350877,-87.00353726701564,-73.85994896580804,-170.77929332740683,-204.93471072476996,-217.4025591053955,1.0,-64.14676161879066,-65.99331376354904,-106.63107295871177
2011-01-31,19,2010-02-02,2011-01-31,252,150,-3113.6618033752006,-3042.6260470521643,-4943.007899964969,-5693.61084134563,-5769.640427989634,0.9974160206718347,-2165.1682420670495,-2434.9782403120294,-3539.8298039360234,-88.15444064359723,-73.24662027314511,-178.82623186840001,-215.11907680213685,-227.9571650062428,1.0,-65.4709843429925,-67.43054755377912,-105.54609762330959
2011-02-01,20,2010-02-03,2011-02-01,252,150,-3115.2658333518484,-3033.942236208924,-4912.272394417898,-5620.729880985609,-5789.575814484918,0.9974160206718347,-2172.9241271824803,-2433.3881528592096,-3632.805255587134,-85.69603800979202,-72.3301343234989,-170.61127499859896,-203.98872131720069,-214.87851688416984,1.0,-62.77033345602026,-65.9751595783212,-98.2998846925067
2011-02-02,21,2010-02-04,2011-02-02,252,150,-3136.5448240392047,-3080.7159379495533,-5015.220978087838,-5613.778890491872,-5795.259999069896,0.9974160206718347,-2166.0241709661645,-2427.011264989852,-3685.726346684272,-85.41897703595853,-70.98637562840493,-171.37451938407315,-205.78882318720486,-215.42068513530245,1.0,-62.47919094340765,-64.8800236381424,-102.11403296584038
2011-02-03,22,2010-02-05,2011-02-03,252,150,-3133.7162280365446,-3061.101858851297,-5066.010666622127,-5643.169899710148,-5880.450853914979,0.9974160206718347,-2223.2599143371885,-2422.6048521048992,-3795.1710134755817,-88.64734904218724,-72.2365151319524,-182.16631344316932,-217.4008253231726,-228.8493821915218,0.9993333333333333,-63.9549886870839,-68.0218242638931,-102.95967296535505
2011-02-04,23,2010-02-08,2011-02-04,252,150,-3127.6984360799056,-3058.5018820550367,-5020.478641068459,-5636.419013382448,-5840.74938418575,0.9974160206718347,-2191.341515214271,-2404.0970123763195,-3715.7150372531855,-88.84373146696478,-73.9265261388403,-182.3455226432116,-215.0359654766369,-227.54463435452217,0.9993333333333333,-63.90728551352353,-68.71604039382282,-103.28465119245028
2011-02-07,24,2010-02-09,2011-02-07,252,150,-3132.6549795434753,-3045.135474337729,-5087.734819415114,-5633.570920555608,-5876.639884395226,0.9974176888315042,-2214.401624142313,-2393.210645293272,-3788.4850586490534,-89.17565743217175,-74.07263029544595,-180.10773704585785,-218.69578434385036,-228.12604680666055,0.9993337774816788,-64.2963194637152,-68.50632146928184,-101.56743196009502
2011-02-08,25,2010-02-10,2011-02-08,252,150,-3151.328976621027,-3062.688207097194,-5066.075085965429,-5716.430811321153,-5876.48281991064,0.9967783505154639,-2212.494605003794,-2417.510708998532,-3745.981311385333,-90.06080756618249,-74.23746361352269,-180.1118416192884,-217.32503782700806,-228.06428472333548,0.9993333333333333,-64.85441892252403,-69.3910202087537,-102.8236275311586
2011-02-09,26,2010-02-11,2011-02-09,252,150,-3167.1837764298634,-3062.718989701534,-5104.375410186085,-5760.13746821717,-5939.270752242598,0.9967783505154639,-2244.226798240532,-2472.5291737796724,-3784.775771629782,-91.49311289084491,-74.25444181562139,-185.27830806855735,-219.9883145369133,-233.94081362872953,0.9993333333333333,-65.72442200926292,-70.21251231682052,-106.09861890525201
2011-02-10,27,2010-02-12,2011-02-10,252,150,-3137.773652501897,-3032.7097877971382,-5068.326243954478,-5689.693227224043,-5918.848467972024,0.9961290322580645,-2246.400819723021,-2439.161553564315,-3788.6821982581237,-176.60194806003005,-168.35532634135072,-277.0251969706887,-315.73772791991365,-326.88060827827854,1.0,-162.31410117857237,-154.86692529128706,-225.8737410001394
2011-02-11,28,2010-02-16,2011-02-11,252,150,-3137.2560498689754,-3033.2388554317968,-5047.803013223735,-5693.975544475825,-5896.4066750257625,0.9974210186976145,-2239.2035891000387,-2455.745110542004,-3811.5493265478544,-92.09420062369644,-73.23147189931666,-187.31287294154922,-226.62589417574054,-242.15654269676432,1.0,-67.36843781621644,-70.45468877412208,-108.254655046344
2011-02-14,29,2010-02-17,2011-02-14,252,150,-3147.4118709329787,-3042.7751723403876,-5056.658426228223,-5710.406332946461,-5930.5104581394135,0.9974210186976145,-2238.5031044466236,-2428.2079816570067,-3739.3634562980783,-172.88899634246619,-165.23812392160247,-264.49719523026795,-303.4423617826959,-315.4020134444535,1.0,-160.12484818605682,-157.48239416264397,-224.4568889694524
2011-02-15,30,2010-02-18,2011-02-15,252,150,-3147.4702671250357,-3032.254310749813,-5078.743079648271,-5782.119941300083,-5965.04600396556,0.9967741935483871,-2257.2050629251016,-2453.0946069877573,-3738.102136093515,-92.93705218694002,-74.84364852681398,-188.9220426048957,-228.93099001125262,-242.04766264024084,0.9993333333333333,-68.177520189887,-72.04133623473282,-108.90351047020782
2011-02-16,31,2010-02-19,2011-02-16,252,150,-3141.7577764610173,-3020.8800061615457,-5068.753998428249,-5719.456812769937,-5941.451734653982,0.9967721110393802,-2256.5482293947834,-2411.538804573476,-3757.6722040902127,-175.17072588343964,-162.9001415984202,-277.81398538326,-314.11371997491256,-329.32276405681307,1.0,-161.59019386965213,-154.5534710608261,-229.9739722117014
2011-02-17,32,2010-02-22,2011-02-17,252,150,-3129.5127241602163,-3016.082826017959,-5037.305928932626,-5711.189641865923,-5921.6707293675645,0.9967700258397932,-2241.3097225673396,-2384.3965785122227,-3797.9284655810093,-92.35262277969385,-74.70034558924212,-188.61405001851816,-227.45569379262943,-244.23641108602314,0.9993333333333333,-67.98116900100489,-71.72659288418274,-109.55008393840565
2011-02-18,33,2010-02-23,2011-02-18,252,150,-3132.6876730119175,-3017.6983471230615,-5046.6113211679385,-5714.77693959766,-5927.075002473712,0.9974160206718347,-2230.9206855396164,-2419.457851409543,-3728.471224214001,-174.7526700343426,-163.5591854773486,-275.0117293601865,-311.1801725320874,-324.1266666028598,1.0,-161.43443759693312,-156.96882479791614,-230.1738775795157
2011-02-22,34,2010-02-24,2011-02-22,252,150,-3163.354147390258,-3025.017449406415,-5118.123075455742,-5786.0017825153745,-6022.740366207623,0.9974160206718347,-2263.1974317465383,-2441.0825154075255,-3852.6500484983385,-177.2964101149644,-164.88931654114342,-276.60732877121546,-313.7159562590704,-327.2124157056843,1.0,-163.54895181883407,-154.77702004025645,-234.79897912506604
2011-02-23,35,2010-02-25,2011-02-23,252,150,-3151.050408664175,-3024.543878324951,-5132.412911184526,-5825.688589782924,-6062.1081212190975,0.9974160206718347,-2236.794448017821,-2433.2029802062375,-3941.6881515015057,-45.54465250250391,-39.58870553134821,-79.46800655794263,-97.04349819736407,-99.73465658220903,1.0,-42.05950203385607,-41.12353938341374,-58.881878098464604
2011-02-24,36,2010-02-26,2011-02-24,252,150,-3125.8103984158947,-3022.7701073163007,-5093.540879188104,-5791.968661777524,-6019.06449158401,0.9974160206718347,-2206.487287096503,-2376.2896306801827,-3890.8453736747174,-180.71641224119168,-173.10756908478757,-282.1970694646024,-319.3460434114095,-329.1532478397664,1.0,-166.22719962548626,-158.33287293962633,-238.32100949552117
2011-02-25,37,2010-03-01,2011-02-25,252,150,-3134.0724420990996,-3039.9554932903598,-5043.454926024148,-5764.7695379575325,-6010.607119525212,0.9974176888315042,-2195.0249172038334,-2395.7136626944675,-3848.1891073453694,-91.08920304939451,-73.90572560688818,-182.04286716585605,-223.33619262313601,-242.59545498638207,0.9993333333333333,-67.2120082633476,-71.16459283146662,-103.86582236323686
2011-02-28,38,2010-03-02,2011-02-28,252,150,-3143.0606399050116,-3034.6336360869,-5064.162261817834,-5797.53078405711,-6019.125103971815,0.9974160206718347,-2199.4542803148597,-2389.9888422993,-3855.591937125713,-189.38153164142238,-172.30529087832332,-310.3492825015563,-359.74070797639826,-387.66379724060727,1.0,-171.6842435012385,-155.23953088933683,-260.79461929950145
2011-03-01,39,2010-03-03,2011-03-01,252,150,-3170.680389352061,-3050.874043598923,-5092.603534066348,-5847.212288279671,-6090.588075683704,0.9974160206718347,-2246.8424623142255,-2422.9528707284576,-3927.465225972467,-91.59230168501226,-74.60436404806876,-185.10741821071878,-224.29683497977356,-238.4919308112298,0.9993333333333333,-67.00114236763652,-71.05354885404147,-107.94509068891952
2011-03-02,40,2010-03-04,2011-03-02,252,150,-3163.111613303736,-3044.6315957265365,-5120.2290854026305,-5893.463119180811,-6102.4120429458335,0.9974160206718347,-2243.1049081621954,-2410.4372821559864,-3929.356068284649,-188.0865357231957,-174.15559703776853,-301.5864771898211,-351.4915448938188,-373.69464442872635,1.0,-170.3445790604371,-156.60526772551157,-252.1637307947526
2011-03-03,41,2010-03-05,2011-03-03,252,150,-3178.1533011934184,-3055.840038106071,-5109.035295034765,-5837.1701213571105,-6097.156805754785,0.9967700258397932,-2253.875035744658,-2417.2167858004036,-3953.7591146440004,-182.87217037025846,-170.1042365757208,-299.56040078449945,-340.74582606929897,-358.97238532485176,1.0,-166.99302555799267,-152.92402348603548,-238.10881289823817
2011-03-04,42,2010-03-08,2011-03-04,252,150,-3182.4149666874746,-3051.8704285590024,-5101.202547444599,-5879.16887335276,-6109.179957111659,0.9967700258397932,-2284.0314180147407,-2436.312151907613,-3976.5272656635307,-89.55217731458893,-73.344217653528,-177.37954498939365,-217.1277986198285,-232.21649725903498,0.9993337774816788,-65.21769773968082,-69.56706786413008,-102.23547881287259
2011-03-07,43,2010-03-09,2011-03-07,252,150,-3200.7436467549132,-3070.253932685146,-5170.894497250383,-5963.291960573493,-6164.851664102776,0.9974160206718347,-2318.2172632396228,-2463.969476388341,-4011.7614720726992,-90.5594531385663,-74.72007910428728,-181.37313780525048,-222.08438255597997,-235.42387498472354,0.9993337774816788,-66.04009460263052,-69.92267333279833,-105.05889899247909
2011-03-08,44,2010-03-10,2011-03-08,252,150,-3191.412989023473,-3065.4015022868116,-5144.959742418565,-5880.814327822102,-6108.6445840657225,0.9974176888315042,-2317.672716696621,-2449.733996995996,-4024.20066127774,-190.5208179536628,-175.0649393222239,-319.750350102203,-368.23456440859275,-390.42754500262424,1.0,-172.0747900878805,-153.2687928444438,-257.5848937072413
2011-03-09,45,2010-03-11,2011-03-09,252,150,-3202.8634279672046,-3084.7556847520646,-5181.82517564543,-5944.735354386337,-6156.377852041899,0.9967721110393802,-2385.405820941659,-2506.5417096266374,-4126.787233890908,-92.12403061371549,-76.10102699175528,-184.03039951448332,-225.7100686205146,-240.91505171599735,0.9993333333333333,-66.58548847877942,-70.78099280625756,-104.33327769587576
