date,window_id,window_start,window_end,n_days,n_assets,corr_num_edges,corr_avg_degree,corr_density,corr_total_weight,corr_avg_weight
2011-02-22,34,2010-02-24,2011-02-22,252,150,1548,20.64,0.1385234899328859,1930.724622601971,0.6236190641479235
2011-02-23,35,2010-02-25,2011-02-23,252,150,1548,20.64,0.1385234899328859,1931.4361551729673,0.6238488873297698
2011-02-24,36,2010-02-26,2011-02-24,252,150,1548,20.64,0.1385234899328859,1929.412973259356,0.6231954047995336
2011-02-25,37,2010-03-01,2011-02-25,252,150,1549,20.653333333333332,0.1386129753914989,1932.8502942812231,0.6239026127441004
2011-02-28,38,2010-03-02,2011-02-28,252,150,1548,20.64,0.1385234899328859,1932.1617114377932,0.6240832401284861
2011-03-01,39,2010-03-03,2011-03-01,252,150,1548,20.64,0.1385234899328859,1937.4327101014685,0.6257857590767018
2011-03-02,40,2010-03-04,2011-03-02,252,150,1548,20.64,0.1385234899328859,1936.8917079003006,0.625611016763663
2011-03-03,41,2010-03-05,2011-03-03,252,150,1548,20.64,0.1385234899328859,1943.7585823604384,0.6278289994704258
2011-03-04,42,2010-03-08,2011-03-04,252,150,1548,20.64,0.1385234899328859,1940.8895499499054,0.6269023094153441
2011-03-07,43,2010-03-09,2011-03-07,252,150,1548,20.64,0.1385234899328859,1941.9698592352304,0.6272512465230072
2011-03-08,44,2010-03-10,2011-03-08,252,150,1549,20.653333333333332,0.1386129753914989,1946.477739970509,0.6283014008942895
2011-03-09,45,2010-03-11,2011-03-09,252,150,1549,20.653333333333332,0.1386129753914989,1946.341007272802,0.6282572650977412
2011-03-10,46,2010-03-12,2011-03-10,252,150,1549,20.653333333333332,0.1386129753914989,1951.7015677580096,0.6299875944990347
2011-03-11,47,2010-03-15,2011-03-11,252,150,1549,20.653333333333332,0.1386129753914989,1952.4443782326575,0.6302273654721297
2011-03-14,48,2010-03-16,2011-03-14,252,150,1549,20.653333333333332,0.1386129753914989,1952.6378321632399,0.6302898102528212
2011-03-15,49,2010-03-17,2011-03-15,252,150,1549,20.653333333333332,0.1386129753914989,1951.9625126714998,0.6300718246195932
2011-03-16,50,2010-03-18,2011-03-16,252,150,1549,20.653333333333332,0.1386129753914989,1956.647942698226,0.6315842294054957
2011-03-17,51,2010-03-19,2011-03-17,252,150,1551,20.68,0.13879194630872482,1962.329360118056,0.6326013411083352
2011-03-18,52,2010-03-22,2011-03-18,252,150,1551,20.68,0.13879194630872482,1961.1377873761458,0.6322172106306079
2011-03-21,53,2010-03-23,2011-03-21,252,150,1550,20.666666666666668,0.13870246085011187,1964.096682005293,0.633579574840417
2011-03-22,54,2010-03-24,2011-03-22,252,150,1549,20.653333333333332,0.1386129753914989,1963.9602441998873,0.6339445591348893
2011-03-23,55,2010-03-25,2011-03-23,252,150,1551,20.68,0.13879194630872482,1965.9419783352414,0.6337659504626826
2011-03-24,56,2010-03-26,2011-03-24,252,150,1550,20.666666666666668,0.13870246085011187,1966.311967094172,0.6342941829336038
2011-03-25,57,2010-03-29,2011-03-25,252,150,1550,20.666666666666668,0.13870246085011187,1967.9515964433695,0.6348230956268933
2011-03-28,58,2010-03-30,2011-03-28,252,150,1550,20.666666666666668,0.13870246085011187,1968.0452182421693,0.6348532962071514
2011-03-29,59,2010-03-31,2011-03-29,252,150,1550,20.666666666666668,0.13870246085011187,1968.7485163955007,0.6350801665791938
2011-03-30,60,2010-04-01,2011-03-30,252,150,1550,20.666666666666668,0.13870246085011187,1968.7226553273733,0.6350718242991527
2011-03-31,61,2010-04-05,2011-03-31,252,150,1551,20.68,0.13879194630872482,1967.582874063076,0.6342949303878388
2011-04-01,62,2010-04-06,2011-04-01,252,150,1550,20.666666666666668,0.13870246085011187,1962.488013704468,0.6330606495820864
2011-04-04,63,2010-04-07,2011-04-04,252,150,1550,20.666666666666668,0.13870246085011187,1962.5275628173008,0.6330734073604196
2011-04-05,64,2010-04-08,2011-04-05,252,150,1551,20.68,0.13879194630872482,1964.3776781926936,0.6332616628603138
2011-04-06,65,2010-04-09,2011-04-06,252,150,1551,20.68,0.13879194630872482,1963.8407398073794,0.6330885686032816
2011-04-07,66,2010-04-12,2011-04-07,252,150,1551,20.68,0.13879194630872482,1963.309920967783,0.6329174471204975
2011-04-08,67,2010-04-13,2011-04-08,252,150,1551,20.68,0.13879194630872482,1964.4980025104053,0.6333004521310139
2011-04-11,68,2010-04-14,2011-04-11,252,150,1551,20.68,0.13879194630872482,1965.4223064734997,0.6335984224608316
2011-04-12,69,2010-04-15,2011-04-12,252,150,1550,20.666666666666668,0.13870246085011187,1963.375577165666,0.6333469603760213
2011-04-13,70,2010-04-16,2011-04-13,252,150,1550,20.666666666666668,0.13870246085011187,1967.6649138953787,0.634730617385606
2011-04-14,71,2010-04-19,2011-04-14,252,150,1549,20.653333333333332,0.1386129753914989,1960.6551573042689,0.6328777137844638
2011-04-15,72,2010-04-20,2011-04-15,252,150,1550,20.666666666666668,0.13870246085011187,1963.0347467615084,0.6332370150843575
2011-04-18,73,2010-04-21,2011-04-18,252,150,1550,20.666666666666668,0.13870246085011187,1969.814833649462,0.6354241398869231
2011-04-19,74,2010-04-22,2011-04-19,252,150,1550,20.666666666666668,0.13870246085011187,1971.69853676147,0.6360317860520871
2011-04-20,75,2010-04-23,2011-04-20,252,150,1551,20.68,0.13879194630872482,1974.8233102542272,0.6366290490826007
2011-04-21,76,2010-04-26,2011-04-21,252,150,1552,20.69333333333333,0.1388814317673378,1978.1253659463973,0.637282656554896
2011-04-25,77,2010-04-27,2011-04-25,252,150,1552,20.69333333333333,0.1388814317673378,1979.0967531581398,0.6375956034658955
2011-04-26,78,2010-04-28,2011-04-26,252,150,1551,20.68,0.13879194630872482,1967.203693231342,0.6341726928534307
2011-04-27,79,2010-04-29,2011-04-27,252,150,1551,20.68,0.13879194630872482,1965.9414565681845,0.6337657822592471
2011-04-28,80,2010-04-30,2011-04-28,252,150,1551,20.68,0.13879194630872482,1964.0722731937883,0.6331632086375849
2011-04-29,81,2010-05-03,2011-04-29,252,150,1551,20.68,0.13879194630872482,1958.7828779813267,0.6314580522183516
2011-05-02,82,2010-05-04,2011-05-02,252,150,1551,20.68,0.13879194630872482,1953.7752733055618,0.6298437373647846
2011-05-03,83,2010-05-05,2011-05-03,252,150,1553,20.706666666666667,0.13897091722595079,1942.1299823768288,0.6252833169275045
2011-05-04,84,2010-05-06,2011-05-04,252,150,1553,20.706666666666667,0.13897091722595079,1941.3368664712107,0.6250279673120447
2011-05-05,85,2010-05-07,2011-05-05,252,150,1553,20.706666666666667,0.13897091722595079,1918.8222543519985,0.6177792190444297
2011-05-06,86,2010-05-10,2011-05-06,252,150,1552,20.69333333333333,0.1388814317673378,1911.1161330083726,0.6156946304795015
2011-05-09,87,2010-05-11,2011-05-09,252,150,1549,20.653333333333332,0.1386129753914989,1863.4479199834598,0.6015002969604454
2011-05-10,88,2010-05-12,2011-05-10,252,150,1550,20.666666666666668,0.13870246085011187,1867.7418170724131,0.6024973603459397
2011-05-11,89,2010-05-13,2011-05-11,252,150,1551,20.68,0.13879194630872482,1867.1556878312906,0.601919950944968
2011-05-12,90,2010-05-14,2011-05-12,252,150,1551,20.68,0.13879194630872482,1862.5676624508562,0.6004408969860916
2011-05-13,91,2010-05-17,2011-05-13,252,150,1549,20.653333333333332,0.1386129753914989,1852.2427979477156,0.5978834079882878
2011-05-16,92,2010-05-18,2011-05-16,252,150,1549,20.653333333333332,0.1386129753914989,1854.2302661246197,0.598524940647069
2011-05-17,93,2010-05-19,2011-05-17,252,150,1549,20.653333333333332,0.1386129753914989,1846.1013051877321,0.5959010023201201
2011-05-18,94,2010-05-20,2011-05-18,252,150,1549,20.653333333333332,0.1386129753914989,1847.8271330378666,0.596458080386658
2011-05-19,95,2010-05-21,2011-05-19,252,150,1548,20.64,0.1385234899328859,1808.0016933193012,0.5839798751031334
2011-05-20,96,2010-05-24,2011-05-20,252,150,1548,20.64,0.1385234899328859,1807.6866549712627,0.5838781185307695
2011-05-23,97,2010-05-25,2011-05-23,252,150,1548,20.64,0.1385234899328859,1809.4861125681425,0.5844593386848006
2011-05-24,98,2010-05-26,2011-05-24,252,150,1548,20.64,0.1385234899328859,1811.5472267992868,0.5851250732555836
2011-05-25,99,2010-05-27,2011-05-25,252,150,1548,20.64,0.1385234899328859,1812.5500386312872,0.5854489788860747
2011-05-26,100,2010-05-28,2011-05-26,252,150,1548,20.64,0.1385234899328859,1782.7244875367905,0.5758154029511597
2011-05-27,101,2010-06-01,2011-05-27,252,150,1548,20.64,0.1385234899328859,1777.668978530249,0.5741824866053776
2011-05-31,102,2010-06-02,2011-05-31,252,150,1547,20.626666666666665,0.13843400447427293,1766.0678789204076,0.5708040979057555
2011-06-01,103,2010-06-03,2011-06-01,252,150,1548,20.64,0.1385234899328859,1773.2774240511433,0.5727640258563125
2011-06-02,104,2010-06-04,2011-06-02,252,150,1549,20.653333333333332,0.1386129753914989,1776.7064019594031,0.5735010981147202
2011-06-03,105,2010-06-07,2011-06-03,252,150,1547,20.626666666666665,0.13843400447427293,1736.3544664640435,0.5612005386115202
2011-06-06,106,2010-06-08,2011-06-06,252,150,1547,20.626666666666665,0.13843400447427293,1731.5618740003465,0.5596515429865373
2011-06-07,107,2010-06-09,2011-06-07,252,150,1547,20.626666666666665,0.13843400447427293,1731.328556593753,0.5595761333528614
2011-06-08,108,2010-06-10,2011-06-08,252,150,1547,20.626666666666665,0.13843400447427293,1735.2355358650584,0.5608388932983382
