date,window_start,window_end,n_days,n_assets,corr_diff_gamma,corr_diff_tmix_proxy,corr_diff_pi_min,corr_diff_lambda2,corr_ct_mean,corr_ct_median,corr_ct_q10,corr_ct_q90,corr_mfpt_mean,corr_mfpt_median,corr_mfpt_q10,corr_mfpt_q90,prec_diff_gamma,prec_diff_tmix_proxy,prec_diff_pi_min,prec_diff_lambda2,prec_ct_mean,prec_ct_median,prec_ct_q10,prec_ct_q90,prec_mfpt_mean,prec_mfpt_median,prec_mfpt_q10,prec_mfpt_q90
2018-01-24,2017-01-25,2018-01-24,252,165,0.014940927862027165,881.1655948405788,0.00019156921070679188,0.9850590721379728,1776.6078426868676,915.7123571715322,225.64513072541726,4827.097970217288,888.3039213434337,292.31474053351707,87.3657584235158,2693.4026776084097,0.10160249292300927,104.77172516551617,0.0023818011812722006,0.8983975070769907,411.33570184309883,395.47186126634256,319.48877018693366,526.832504972891,205.66785092154942,191.41198096275724,144.49383403799987,284.12779892465016
2018-01-25,2017-01-26,2018-01-25,252,165,0.011998343890756824,1097.7155197058646,0.0001905495840261234,0.9880016561092432,1903.0863093482146,972.692291114429,223.39282946223588,5665.217250117383,951.5431546741073,290.6185776307168,86.84112070685114,2679.288519319121,0.10204181969988069,104.30201733907579,0.0023863328550560777,0.8979581803001193,411.7621183239057,395.2410165374754,319.89282516413766,528.4262325888068,205.88105916195286,192.55950292191113,144.93402215202778,285.8818458002221
2018-01-26,2017-01-27,2018-01-26,252,165,0.010400235805325786,1268.1501051213518,0.00018709576800706346,0.9895997641946742,2058.4315967037574,1035.72404496362,221.3001080686725,5914.933496298899,1029.2157983518787,299.2700147453569,86.50067504525539,3415.8348321310236,0.03029267135439162,429.09010395486615,0.00022642080645873645,0.9697073286456084,686.9682124214862,521.432997080317,316.09483499345805,1091.9808545821788,343.4841062107431,242.05766747121106,133.17605828453878,567.3396993182075
2018-01-29,2017-01-30,2018-01-29,252,165,0.016277480984600246,808.6682539806353,0.00019201982404509099,0.9837225190153998,1769.4184387679838,914.7252844855587,223.4428734433749,4673.97547531596,884.7092193839919,291.02268923071506,87.21387946555238,2975.850919394435,0.031380602439300076,403.4754731326384,0.00031715078637079485,0.9686193975606999,661.8498604459282,513.668660404188,315.477305724005,1072.2356076593042,330.924930222964,239.73102876017896,133.52171005605615,549.3008791236283
2018-01-30,2017-01-31,2018-01-30,252,165,0.016692675710437643,788.2644524195692,0.0001929513077545394,0.9833073242895624,1742.5201819853905,916.4681040532774,221.69444580915325,4641.544607987963,871.2600909926953,297.7945893553381,88.48655475196642,2852.189744081308,0.10128479192325279,105.61949503571198,0.0022598012958738715,0.8987152080767472,411.246400511544,394.70895502829694,321.0202284058004,522.0761127624482,205.623200255772,192.14396326031465,147.1253462407138,276.7497366975211
2018-01-31,2017-02-01,2018-01-31,252,165,0.01717976468992566,766.2695321004384,0.00019178030908859658,0.9828202353100743,1736.4650663935145,870.119918800593,222.59177828422042,4742.3683760741615,868.2325331967572,286.7925340182613,89.03684606542645,2771.2539436032316,0.10015305612386871,107.48556298703123,0.002112596675229792,0.8998469438761313,411.4654282228681,394.3621328123997,320.2778956352808,525.4496147070023,205.73271411143406,191.65758175035785,147.38133355661245,282.3280217455682
2018-02-01,2017-02-02,2018-02-01,252,166,0.015418386204952061,854.6528931850607,0.00018929608293706033,0.9845816137950479,1709.662547665725,807.7932276701836,226.55537911455485,4876.206931708944,854.8312738328625,289.1863204112972,89.55904745136604,2460.0245492059053,0.09933346519489683,108.1585007405931,0.0021579674776450283,0.9006665348051032,413.30009500765647,395.55653543335995,322.4146771989707,528.8446127188349,206.65004750382823,193.16617187753462,148.3276245172077,287.9439289752106
2018-02-02,2017-02-03,2018-02-02,252,166,0.00806972374797088,1626.256670968108,0.00019978437619705574,0.9919302762520291,2210.6601690960706,861.1466241479783,225.02850745547792,6585.430953132645,1105.3300845480353,330.03881169763247,86.48307140508612,3361.747905890004,0.10051812621188172,106.41472797928158,0.002262151625701636,0.8994818737881183,413.9855005274758,397.18001718416014,322.40319982939315,529.8381993327303,206.99275026373792,196.42646144599763,149.38139102221706,285.5987745019431
2018-02-05,2017-02-06,2018-02-05,252,166,0.010966489946645508,1197.7368478092096,0.00019749467930013255,0.9890335100533545,2133.5721558346595,1019.395299234801,223.3759903639242,5944.137034652685,1066.7860779173297,302.32253732119943,83.7247317323355,4434.99139381774,0.09947121204079856,108.0015863603112,0.002159500116531972,0.9005287879592014,415.2902185119769,397.32778760784663,324.10515784736464,535.4339801139236,207.64510925598844,193.33282057090554,150.7935713293798,272.79342114707225
2018-02-06,2017-02-07,2018-02-06,252,166,0.010890894215119684,1203.382655487811,0.0002033172450623694,0.9891091057848803,2160.9355332652267,1023.7537614405925,223.16857434197019,5820.878679655265,1080.4677666326133,307.061175016324,83.26875110535559,4491.762940212218,0.10039378541230926,106.8158354881007,0.0022018092270743093,0.8996062145876907,414.8837053467724,397.5229824570872,324.3290498123344,533.3789543673261,207.4418526733862,192.80037489797303,150.46053041387214,275.52428003433414
2018-02-07,2017-02-08,2018-02-07,252,166,0.010821832732756387,1213.0094816716887,0.00019907766601239823,0.9891781672672436,2170.029167552158,1008.1674176609655,222.99951881662068,5995.813354107143,1085.014583776079,312.7846570774816,83.52431078970415,4646.286351981315,0.10173553998915708,104.97275989573157,0.002301278994231328,0.8982644600108429,414.0065821529092,396.4921801075878,324.5043072136121,534.7401136958758,207.0032910764546,192.56567322323696,149.89500060523153,274.73667355427847
2018-02-08,2017-02-09,2018-02-08,252,166,0.011449025459064122,1146.3003238817107,0.00019966863192542915,0.9885509745409359,2611.5534037083944,1246.3498471028176,225.23612253864516,6565.839883760047,1305.7767018541972,308.20592023685106,78.95391020943129,4859.485181110954,0.1022690167607867,104.22897917749957,0.002347920978312001,0.8977309832392133,414.6615968048223,398.2494028716027,324.89367971341795,536.0099142210307,207.33079840241118,192.85861853042422,150.5334895597017,269.268225646646
2018-02-09,2017-02-10,2018-02-09,252,166,0.011497902293020945,1140.714282154477,0.00020131269253440999,0.988502097706979,2701.389719913582,1119.7921131103508,226.5088453875519,7250.0257219276455,1350.6948599567913,310.93737939963694,79.73552360397687,4908.248599355263,0.10167253739608095,105.0081777618191,0.002308222123240946,0.898327462603919,414.59766602466016,398.0560896786824,324.74758038692374,535.5345334372537,207.29883301233005,192.84787286836846,150.69044051743043,270.4946490312175
2018-02-12,2017-02-13,2018-02-12,252,166,0.011590576730494129,1133.5695463278441,0.0001967543385015253,0.9884094232695059,2742.5974067198986,1205.5208548405828,227.7022647532311,7480.145478778297,1371.298703359949,309.06667417388985,78.590009317395,4937.307962816751,-6.661338147750939e-16,,0.00018290335693108454,1.0000000000000007,1396.9569933357081,555.2942858352949,5.004476724474836e-24,3857.018741009237,698.4784966678543,162.14793509713337,0.0,1629.7811823052982
2018-02-13,2017-02-14,2018-02-13,252,166,0.011613006255645097,1131.1442466415092,0.00019729410449555548,0.9883869937443549,2799.702965155974,1193.8572100396007,228.1053506657259,8076.794583754835,1399.851482577987,316.7917007110024,78.76704431553414,4981.709662268235,0.10199780041158357,104.6412069428761,0.0023157938033617114,0.8980021995884164,413.96331107591345,397.62333133091835,325.0467036364803,531.0901941656907,206.98165553795673,192.24131638982556,150.48322090149122,268.73160361934254
