label_name,logit_baseline,logit_full,rf_full
y_dd_h10_thr3,0.7339017935901205,0.9020876212878566,0.9023816524551602
y_dd_h10_thr5,0.746912258156636,0.5838509316770186,0.5133385688108327
y_dd_h10_thr7,0.6581557029926595,0.4378176171654432,0.5977555053642011
y_dd_h20_thr3,0.4294735696009581,0.5621427404866896,0.3264739506777723
y_dd_h20_thr5,0.3921528136293237,0.4408535536052315,0.4621235587678541
y_dd_h20_thr7,0.7165523156089194,0.4763614922813036,0.472734419668382
y_dd_h5_thr3,0.6770083102493074,0.3033795013850415,0.4676731301939058
y_dd_h5_thr5,0.7655310621242485,0.2954798485860609,0.5980850590069027
y_dd_h5_thr7,0.7290873854827344,0.3642882311486962,0.6078047921071177
y_vol_top3_h10,0.9335985312117504,0.8053855569155446,0.8509026927784578
y_vol_top3_h20,0.9456042340488092,0.966774478094678,0.8994413407821229
y_vol_top3_h5,0.9335260115606936,0.7911469425007606,0.6125646486157591
