label_name,logit_baseline,logit_full,rf_full
y_dd_h10_thr3,0.2798629013979035,0.751676468555882,0.6827672488882064
y_dd_h10_thr5,0.1857381058410905,0.2368793737586249,0.1362717861018397
y_dd_h10_thr7,0.3261521542756974,0.179360573099449,0.242010708092519
y_dd_h20_thr3,0.0627737679059832,0.0814130254125178,0.2065898741418662
y_dd_h20_thr5,0.1057771948346368,0.1290936909557726,0.2890104383557549
y_dd_h20_thr7,0.1965595011811778,0.1434518312853649,0.1432249332244456
y_dd_h5_thr3,0.1974271988902108,0.0513419856149508,0.1161772527959456
y_dd_h5_thr5,0.3562129635173554,0.0835506185009514,0.1545411892052149
y_dd_h5_thr7,0.307403856367363,0.0984450590283359,0.1725917471457161
y_vol_top3_h10,0.8154932737771695,0.740985649328324,0.8226152340751506
y_vol_top3_h20,0.7606986087978858,0.9112570427038692,0.7398903416720625
y_vol_top3_h5,0.7613736383703795,0.7274889511524592,0.4972270849920917
