n_samples,pos_rate,logloss,brier,accuracy,precision,recall,f1,auc,ap,error,fit_status,model_name,label_name,event_type,horizon_days,threshold,vol_top_pct_int,n_train,n_test,y_train_unique,y_test_unique,split_mode,split_cutoff_date,total_pos,train_pos,test_pos,label_readable,model_readable
732,0.1202185792349726,0.5092335171404545,0.1306407256235522,0.8333333333333334,0.3191489361702128,0.3409090909090909,0.3296703296703296,0.6581557029926595,0.3261521542756974,,ok,logit_baseline,y_dd_h10_thr7,dd,10,7.0,,1778,732,"0,1","0,1",event_balanced,2018-01-25,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",Logistic Regression (Baseline features)
732,0.1202185792349726,1.271635422920409,0.1160338766815995,0.8797814207650273,0.5,0.1022727272727272,0.1698113207547169,0.4378176171654432,0.179360573099449,,ok,logit_full,y_dd_h10_thr7,dd,10,7.0,,1778,732,"0,1","0,1",event_balanced,2018-01-25,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",Logistic Regression (Baseline + Ricci curvature)
732,0.1202185792349726,0.3954338059507956,0.1037054964012763,0.8838797814207651,0.7142857142857143,0.0568181818181818,0.1052631578947368,0.5977555053642011,0.242010708092519,,ok,rf_full,y_dd_h10_thr7,dd,10,7.0,,1778,732,"0,1","0,1",event_balanced,2018-01-25,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 10 days",Random Forest (Baseline + Ricci curvature)
510,0.0764705882352941,1.057763703047229,0.2398464335847799,0.7,0.0403225806451612,0.1282051282051282,0.0613496932515337,0.4294735696009581,0.0627737679059832,,ok,logit_baseline,y_dd_h20_thr3,dd,20,3.0,,1990,510,"0,1","0,1",event_balanced,2018-11-27,78,39,39,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",Logistic Regression (Baseline features)
510,0.0764705882352941,0.8058011982283498,0.212706897381196,0.7137254901960784,0.0504201680672268,0.1538461538461538,0.0759493670886076,0.5621427404866896,0.0814130254125178,,ok,logit_full,y_dd_h20_thr3,dd,20,3.0,,1990,510,"0,1","0,1",event_balanced,2018-11-27,78,39,39,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature)
510,0.0764705882352941,0.8940745218678633,0.0910997040890529,0.9098039215686274,0.3157894736842105,0.1538461538461538,0.2068965517241379,0.3264739506777723,0.2065898741418662,,ok,rf_full,y_dd_h20_thr3,dd,20,3.0,,1990,510,"0,1","0,1",event_balanced,2018-11-27,78,39,39,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",Random Forest (Baseline + Ricci curvature)
512,0.126953125,0.8850384492361306,0.1783793057373356,0.794921875,0.1,0.0769230769230769,0.0869565217391304,0.3921528136293237,0.1057771948346368,,ok,logit_baseline,y_dd_h20_thr5,dd,20,5.0,,1988,512,"0,1","0,1",event_balanced,2018-11-23,130,65,65,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",Logistic Regression (Baseline features)
512,0.126953125,1.942133397312616,0.1648228134896313,0.8203125,0.1538461538461538,0.0923076923076923,0.1153846153846153,0.4408535536052315,0.1290936909557726,,ok,logit_full,y_dd_h20_thr5,dd,20,5.0,,1988,512,"0,1","0,1",event_balanced,2018-11-23,130,65,65,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature)
512,0.126953125,0.4676268499458373,0.1184855056671849,0.896484375,1.0,0.1846153846153846,0.3116883116883117,0.4621235587678541,0.2890104383557549,,ok,rf_full,y_dd_h20_thr5,dd,20,5.0,,1988,512,"0,1","0,1",event_balanced,2018-11-23,130,65,65,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",Random Forest (Baseline + Ricci curvature)
724,0.1215469613259668,0.9897853605936155,0.1541761873224003,0.8383977900552486,0.1463414634146341,0.0681818181818181,0.0930232558139534,0.7165523156089194,0.1965595011811778,,ok,logit_baseline,y_dd_h20_thr7,dd,20,7.0,,1776,724,"0,1","0,1",event_balanced,2018-01-23,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",Logistic Regression (Baseline features)
724,0.1215469613259668,2.0435066366514003,0.1232109638632588,0.8756906077348067,0.375,0.034090909090909,0.0625,0.4763614922813036,0.1434518312853649,,ok,logit_full,y_dd_h20_thr7,dd,20,7.0,,1776,724,"0,1","0,1",event_balanced,2018-01-23,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature)
724,0.1215469613259668,0.4922339887027493,0.1190405732011911,0.8715469613259669,0.2727272727272727,0.034090909090909,0.0606060606060606,0.472734419668382,0.1432249332244456,,ok,rf_full,y_dd_h20_thr7,dd,20,7.0,,1776,724,"0,1","0,1",event_balanced,2018-01-23,176,88,88,"Drawdown event (drawdown threshold = 7%), prediction horizon = 20 days",Random Forest (Baseline + Ricci curvature)
211,0.1800947867298578,0.3399478212207864,0.104850103456268,0.8672985781990521,0.6,0.7894736842105263,0.6818181818181818,0.9335260115606936,0.7613736383703795,,ok,logit_baseline,y_vol_top3_h5,vol,5,,3.0,2308,211,"0,1","0,1",event_balanced,2020-03-05,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 5 days",Logistic Regression (Baseline features)
211,0.1800947867298578,0.4387295613824643,0.0793415452583194,0.914691943127962,0.9545454545454546,0.5526315789473685,0.7,0.7911469425007606,0.7274889511524592,,ok,logit_full,y_vol_top3_h5,vol,5,,3.0,2308,211,"0,1","0,1",event_balanced,2020-03-05,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 5 days",Logistic Regression (Baseline + Ricci curvature)
211,0.1800947867298578,0.4403633524587513,0.1360817515313531,0.8293838862559242,1.0,0.0526315789473684,0.1,0.6125646486157591,0.4972270849920917,,ok,rf_full,y_vol_top3_h5,vol,5,,3.0,2308,211,"0,1","0,1",event_balanced,2020-03-05,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 5 days",Random Forest (Baseline + Ricci curvature)
210,0.1809523809523809,0.6582952167762373,0.0795026101025804,0.8904761904761904,0.8,0.5263157894736842,0.6349206349206349,0.9335985312117504,0.8154932737771695,,ok,logit_baseline,y_vol_top3_h10,vol,10,,3.0,2309,210,"0,1","0,1",event_balanced,2020-03-06,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 10 days",Logistic Regression (Baseline features)
210,0.1809523809523809,1.20221648965208,0.1100177303460348,0.8857142857142857,1.0,0.3684210526315789,0.5384615384615384,0.8053855569155446,0.740985649328324,,ok,logit_full,y_vol_top3_h10,vol,10,,3.0,2309,210,"0,1","0,1",event_balanced,2020-03-06,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 10 days",Logistic Regression (Baseline + Ricci curvature)
210,0.1809523809523809,0.6948525546025938,0.1591145357633364,0.819047619047619,0.0,0.0,0.0,0.8509026927784578,0.8226152340751506,,ok,rf_full,y_vol_top3_h10,vol,10,,3.0,2309,210,"0,1","0,1",event_balanced,2020-03-06,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 10 days",Random Forest (Baseline + Ricci curvature)
217,0.1751152073732718,0.8139590088584663,0.1272307658920262,0.8571428571428571,1.0,0.1842105263157894,0.3111111111111111,0.9456042340488092,0.7606986087978858,,ok,logit_baseline,y_vol_top3_h20,vol,20,,3.0,2302,217,"0,1","0,1",event_balanced,2020-02-26,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 20 days",Logistic Regression (Baseline features)
217,0.1751152073732718,1.2428088773334751,0.1110458901631496,0.8894009216589862,1.0,0.3684210526315789,0.5384615384615384,0.966774478094678,0.9112570427038692,,ok,logit_full,y_vol_top3_h20,vol,20,,3.0,2302,217,"0,1","0,1",event_balanced,2020-02-26,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 20 days",Logistic Regression (Baseline + Ricci curvature)
217,0.1751152073732718,0.5434181073880165,0.1417264158810127,0.8433179723502304,1.0,0.1052631578947368,0.1904761904761904,0.8994413407821229,0.7398903416720625,,ok,rf_full,y_vol_top3_h20,vol,20,,3.0,2302,217,"0,1","0,1",event_balanced,2020-02-26,76,38,38,"High volatility event (top 3% of rolling volatility), prediction horizon = 20 days",Random Forest (Baseline + Ricci curvature)
