label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_mfpt_q10,Correlation graph: Mean First Passage Time Q10,0.3634211794542994
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_gamma,Precision graph: Diff Gamma,0.18934133980598472
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_q10,Precision graph: Mean First Passage Time Q10,0.0021186865074265208
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_q90,Precision graph: Ct Q90,-0.031835083923715805
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_diff_pi_min,Precision graph: Diff Pi Min,-0.0320237636820892
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_mean,Precision graph: Ct Mean,-0.03283637886575709
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_mean,Precision graph: Mean First Passage Time Mean,-0.03283637886575709
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),corr_diff_pi_min,Correlation graph: Diff Pi Min,-0.03496237989402451
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_mfpt_q90,Precision graph: Mean First Passage Time Q90,-0.04088057440108197
y_dd_h10_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 10 days",logit_baseline,Logistic Regression (Baseline features),prec_ct_q10,Precision graph: Ct Q10,-0.06962318085313213
